clip,stimulus,response,language,name,gender,noise_exposure,age,condition,trial,participant
yanny-laurel-single_laurel_12.wav,-2,Laurel,"English ","Jake Barry",m,no,22,random,10,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_36.wav,-4,Laurel,"English ","Jake Barry",m,no,22,random,11,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_6.wav,1,Laurel,"English ","Jake Barry",m,no,22,random,12,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_48.wav,5,Yanny,"English ","Jake Barry",m,no,22,random,13,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_24.wav,3,Laurel,"English ","Jake Barry",m,no,22,random,14,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_36.wav,4,Yanny,"English ","Jake Barry",m,no,22,random,15,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_6.wav,-1,Laurel,"English ","Jake Barry",m,no,22,random,16,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_24.wav,-3,Laurel,"English ","Jake Barry",m,no,22,random,17,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_0.wav,0,Laurel,"English ","Jake Barry",m,no,22,random,18,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_12.wav,-2,Laurel,"English ","Jake Barry",m,no,22,random,19,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_12.wav,2,Laurel,"English ","Jake Barry",m,no,22,random,20,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_48.wav,-5,Laurel,"English ","Jake Barry",m,no,22,random,21,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_24.wav,-3,Laurel,"English ","Jake Barry",m,no,22,random,22,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_48.wav,5,Yanny,"English ","Jake Barry",m,no,22,random,23,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_36.wav,4,Yanny,"English ","Jake Barry",m,no,22,random,24,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_6.wav,1,Laurel,"English ","Jake Barry",m,no,22,random,25,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_12.wav,-2,Laurel,"English ","Jake Barry",m,no,22,random,26,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_36.wav,-4,Laurel,"English ","Jake Barry",m,no,22,random,27,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_12.wav,2,Laurel,"English ","Jake Barry",m,no,22,random,28,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_48.wav,-5,Laurel,"English ","Jake Barry",m,no,22,random,29,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_24.wav,3,Laurel,"English ","Jake Barry",m,no,22,random,30,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_0.wav,0,Laurel,"English ","Jake Barry",m,no,22,random,31,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_6.wav,-1,Laurel,"English ","Jake Barry",m,no,22,random,32,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_12.wav,2,Laurel,"English ","Jake Barry",m,no,22,random,33,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_0.wav,0,Laurel,"English ","Jake Barry",m,no,22,random,34,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_48.wav,-5,Laurel,"English ","Jake Barry",m,no,22,random,35,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_24.wav,3,Laurel,"English ","Jake Barry",m,no,22,random,36,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_24.wav,-3,Laurel,"English ","Jake Barry",m,no,22,random,37,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_36.wav,4,Yanny,"English ","Jake Barry",m,no,22,random,38,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_6.wav,-1,Laurel,"English ","Jake Barry",m,no,22,random,39,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_12.wav,-2,Laurel,"English ","Jake Barry",m,no,22,random,40,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_48.wav,5,Yanny,"English ","Jake Barry",m,no,22,random,41,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_yanny_6.wav,1,Laurel,"English ","Jake Barry",m,no,22,random,42,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_36.wav,-4,Laurel,"English ","Jake Barry",m,no,22,random,43,1ce0d08103cd029b88204564e2c91358b009e86a5b20
yanny-laurel-single_laurel_48.wav,-5,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,0,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_36.wav,-4,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,1,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_24.wav,-3,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,2,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_12.wav,-2,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,3,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_6.wav,-1,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,4,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_0.wav,0,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,5,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_6.wav,1,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,6,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_12.wav,2,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,7,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_24.wav,3,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,8,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_36.wav,4,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,9,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_48.wav,5,Yanny,"English ","Kimo Karp",m,no,21,laurel_first,10,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_48.wav,5,Yanny,"English ","Kimo Karp",m,no,21,laurel_first,11,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_36.wav,4,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,12,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_24.wav,3,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,13,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_12.wav,2,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,14,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_6.wav,1,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,15,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_0.wav,0,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,16,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_6.wav,-1,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,17,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_12.wav,-2,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,18,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_24.wav,-3,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,19,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_36.wav,-4,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,20,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_48.wav,-5,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,21,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_48.wav,-5,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,22,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_36.wav,-4,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,23,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_24.wav,-3,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,24,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_12.wav,-2,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,25,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_6.wav,-1,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,26,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_0.wav,0,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,27,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_6.wav,1,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,28,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_12.wav,2,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,29,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_24.wav,3,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,30,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_36.wav,4,Yanny,"English ","Kimo Karp",m,no,21,laurel_first,31,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_48.wav,5,Yanny,"English ","Kimo Karp",m,no,21,laurel_first,32,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_48.wav,5,Yanny,"English ","Kimo Karp",m,no,21,laurel_first,33,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_36.wav,4,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,34,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_24.wav,3,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,35,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_12.wav,2,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,36,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_6.wav,1,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,37,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_0.wav,0,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,38,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_6.wav,-1,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,39,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_12.wav,-2,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,40,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_24.wav,-3,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,41,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_36.wav,-4,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,42,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_laurel_48.wav,-5,Laurel,"English ","Kimo Karp",m,no,21,laurel_first,43,9d29887d41159a7e783c9b0619a9bb82bb24078e44cb
yanny-laurel-single_yanny_48.wav,5,Laurel,English,Nick,m,yes,21,yanny_first,0,94ffdf8df3b2b2781019d8bbc012cb6d6c14ffad6b56
