"","clip","stimulus","response","language","gender","noise_exposure","age","condition","trial","participant"
"54","yanny-laurel-single_laurel_36.wav",-4,"Laurel","German","m","yes",28,"yanny_first",9,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"55","yanny-laurel-single_laurel_48.wav",-5,"Laurel","German","m","yes",28,"yanny_first",10,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"56","yanny-laurel-single_laurel_48.wav",-5,"Laurel","German","m","yes",28,"yanny_first",11,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"57","yanny-laurel-single_laurel_36.wav",-4,"Laurel","German","m","yes",28,"yanny_first",12,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"58","yanny-laurel-single_laurel_24.wav",-3,"Laurel","German","m","yes",28,"yanny_first",13,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"59","yanny-laurel-single_laurel_12.wav",-2,"Laurel","German","m","yes",28,"yanny_first",14,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"60","yanny-laurel-single_laurel_6.wav",-1,"Laurel","German","m","yes",28,"yanny_first",15,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"61","yanny-laurel-single_yanny_0.wav",0,"Laurel","German","m","yes",28,"yanny_first",16,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"62","yanny-laurel-single_yanny_6.wav",1,"Laurel","German","m","yes",28,"yanny_first",17,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"63","yanny-laurel-single_yanny_12.wav",2,"Yanny","German","m","yes",28,"yanny_first",18,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"64","yanny-laurel-single_yanny_24.wav",3,"Yanny","German","m","yes",28,"yanny_first",19,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"65","yanny-laurel-single_yanny_36.wav",4,"Yanny","German","m","yes",28,"yanny_first",20,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"66","yanny-laurel-single_yanny_48.wav",5,"Yanny","German","m","yes",28,"yanny_first",21,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"67","yanny-laurel-single_yanny_48.wav",5,"Yanny","German","m","yes",28,"yanny_first",22,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"68","yanny-laurel-single_yanny_36.wav",4,"Yanny","German","m","yes",28,"yanny_first",23,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
"69","yanny-laurel-single_yanny_24.wav",3,"Yanny","German","m","yes",28,"yanny_first",24,"57d54a7ae9eb3c543b827eff2cbcb2e41606176471be"
